@@,name,item,psid
+++,AGUSTIN NDONG ONA MBUY,,
+++,AGUSTIN NSE NFUMU,,
+++,ALEJANDRO ENVORO OVONO,,
+++,ALFONSO NSUE MOKUY,,
+++,ANASTASIO ASUMU MUM MUÑOZ,,
+++,ANATOLlO NDONG MBA,,
+++,ANGEL ESONO ABAHA MANGUE,,
+++,ANGEL MESIE MIBUY,,
+++,ANGEL NDONG ESONO EYANGA,,
+++,ANGEL SERAFIN SERICHE DOUGAN MALABO,,
+++,ANICETO EBIAKA MOHETE,,
+++,ANSELMO ONDO ESONO ASANGONO,,
+++,ANTONIO JAVIER NGUEMA NCHAMA,,
+++,ANTONIO PASCUAL OKO EBOBO,,
+++,ATANASIO ELA NTUGU NSA,,
+++,BASILlO EDU NGUEMA NZANG,,
+++,BATHO OBAM NSUE MENGUE,,
+++,BERNARDINO EDU OBA,,
+++,BUENAVENTURA MOSWI M'ASUMU,,
+++,CARMELO MOKONG ONGUENE,,
+++,DEMETRIO ELO NDONG NSEFUMU,,
+++,DOMINGO MITUY EDJANG,,
+++,ELlAS ONDO EDJO,,
+++,ELlAS OVONO NGUEMA,,
+++,EUCARIO BAKALE ANGÜE,,
+++,EULALlA ENVO BELA,,
+++,FIDEL MARCOS MEÑE NKOGO EYANG,,
+++,FLORENCIO MAYE ELA,,
+++,FORTUNATO NZAMBI MACHINDE,,
+++,FORTUNATO OFA MBO,,
+++,FRANCISCO MABALE NSENG,,
+++,FRANCISCO MASA BELOPE,,
+++,GUILLERMINA MOKUY MBA,,
+++,HERIBERTO MEKO MBENGONO,,
+++,HILARIO KOMBA DIVANI,,
+++,IGNACIO MILAM TANG,,
+++,JACINTA MBANG NGUEMA,,
+++,JOSE ANTONIO ELOMBA VIÑAS,,
+++,JUAN ANTONIO BIBANG NCHUCHUMA,,
+++,LEOCADIO NDONG MONUMU,,
+++,LUCAS NGUEMA ESONO MBANG,,
+++,MANUEL SAÑABA SILOCHI,,
+++,MARCELlNO NGUEMA ONGUENE,,
+++,MARCELlNO OYONO NTUTUMU,,
+++,MARIA NCHAMA BAYEME,,
+++,MARIA NIEVES EKORO NSANG,,
+++,MARTIN CRISANTOS EBEE MBA,,
+++,MARTIN ELA ONDO,,
+++,MAXIMO MICO ONDO,,
+++,MELCHOR ESONO EDJO,,
+++,METODIO SEHE NSI BINDANG,,
+++,MIGUEL MBA NZANG,,
+++,PASCUAL ONDO MASA,,
+++,PEDRO ONDO NGUEMA OKOMO,,
+++,PILAR DJOMBE DJANGANI,,
+++,POLlCARPO MONSUY MBA,,
+++,PURIFICACION BOHARI LASAGUERO,,
+++,RICARDO MAXIMO TORAO OYO,,
+++,ROSENDO ELA NSUE MIBUY,,
+++,SALOMON NGUEMA OWONO,,
+++,SALVADOR ELA NSENG,,
+++,SANTIAGO HINESTROSA BEHOLl,,
+++,SANTIAGO OBAMA NDONG,,
+++,SANTIAGO ONDO NTUGU ANGUESOMO,,
+++,SATURNINO OKE ESONO BINDANG,,
+++,SILVESTRE SIALE BILEKA,,
+++,TEODOMIRO NZE MANGUE,,
+++,TEODORO NGUEMA OBIANG MANGUE,,
+++,TERESA AVORO NGUEMA,,
+++,TERESA EFUA ASANGONO,,
+++,TOMAS MECHEBA FERNANDEZ GALlLEA,,
+++,VICENTE EHATE TOMI,,
+++,VICENTE RODRIGUEZ SIOSA,,
+++,VICTORIANA NCHAMA NSUE OKOMO,,
+++,VIDAL CHONI BECOBA,,
